ticker,stock,datetime,open,high,close,low,volume
002717.SZ,岭南股份,2024-09-19 00:00:00,1.3400,1.5600,1.5600,1.3400,389659924
002717.SZ,岭南股份,2024-09-20 00:00:00,1.5700,1.7200,1.6700,1.5200,563701064
002717.SZ,岭南股份,2024-09-23 00:00:00,1.6000,1.8400,1.8400,1.5700,399335801
002717.SZ,岭南股份,2024-09-24 00:00:00,1.8800,2.0200,1.8800,1.7100,605475378
002717.SZ,岭南股份,2024-09-25 00:00:00,1.8000,2.0700,2.0700,1.8000,452788514
002717.SZ,岭南股份,2024-09-26 00:00:00,2.1000,2.2800,2.2800,2.0500,644141325
002717.SZ,岭南股份,2024-09-27 00:00:00,2.2500,2.4800,2.3100,2.1600,513013346
002717.SZ,岭南股份,2024-09-30 00:00:00,2.3500,2.5100,2.4700,2.2000,630769886
002717.SZ,岭南股份,2024-10-08 00:00:00,2.7100,2.7200,2.5500,2.3600,529855705
002717.SZ,岭南股份,2024-10-09 00:00:00,2.4500,2.4600,2.3000,2.3000,131060060
002717.SZ,岭南股份,2024-10-10 00:00:00,2.0700,2.3000,2.0700,2.0700,305739509
002717.SZ,岭南股份,2024-10-11 00:00:00,2.0000,2.0200,1.8700,1.8600,243626865
002717.SZ,岭南股份,2024-10-14 00:00:00,1.8900,2.0500,2.0200,1.8900,272918687
002717.SZ,岭南股份,2024-10-15 00:00:00,2.0100,2.0800,1.9400,1.9100,243340072
002717.SZ,岭南股份,2024-10-16 00:00:00,1.8600,1.9600,1.9000,1.8600,189480434
002717.SZ,岭南股份,2024-10-17 00:00:00,1.8800,1.9000,1.8300,1.8100,227258270
002717.SZ,岭南股份,2024-10-18 00:00:00,1.8300,1.8600,1.8400,1.7500,219461343
002717.SZ,岭南股份,2024-10-21 00:00:00,1.8500,1.8800,1.8200,1.7800,192114524
002717.SZ,岭南股份,2024-10-22 00:00:00,1.8200,2.0000,2.0000,1.7900,240147043
002717.SZ,岭南股份,2024-10-23 00:00:00,2.2000,2.2000,2.0800,2.0300,420491715
002717.SZ,岭南股份,2024-10-24 00:00:00,2.0300,2.2900,2.2900,1.9800,316615237
002717.SZ,岭南股份,2024-10-25 00:00:00,2.3500,2.5200,2.5200,2.3000,511314376
002717.SZ,岭南股份,2024-10-28 00:00:00,2.6000,2.7700,2.7700,2.3500,320928071
002717.SZ,岭南股份,2024-10-29 00:00:00,3.0500,3.0500,3.0500,2.8700,162969918
002717.SZ,岭南股份,2024-10-30 00:00:00,3.3500,3.3600,3.3600,3.0500,444389742
002717.SZ,岭南股份,2024-10-31 00:00:00,3.6600,3.7000,3.7000,3.5100,123526690
002717.SZ,岭南股份,2024-11-01 00:00:00,4.0700,4.0700,3.5000,3.3300,717244287
002717.SZ,岭南股份,2024-11-04 00:00:00,3.1500,3.4500,3.1500,3.1500,270792396
002717.SZ,岭南股份,2024-11-05 00:00:00,2.9000,3.3100,3.1500,2.9000,409914181
002717.SZ,岭南股份,2024-11-06 00:00:00,3.1600,3.1600,3.0100,3.0000,291892644
002717.SZ,岭南股份,2024-11-07 00:00:00,2.9500,3.3100,3.3100,2.7500,431520620
002717.SZ,岭南股份,2024-11-08 00:00:00,3.5600,3.6000,3.3300,3.3000,498950488
002717.SZ,岭南股份,2024-11-11 00:00:00,3.2000,3.3000,3.1300,3.0600,258438622
002717.SZ,岭南股份,2024-11-12 00:00:00,3.0500,3.2000,3.1400,3.0000,211845492
002717.SZ,岭南股份,2024-11-13 00:00:00,3.0600,3.1400,3.0400,3.0100,134781604
002717.SZ,岭南股份,2024-11-14 00:00:00,3.0200,3.0400,2.9000,2.8900,134205820
002717.SZ,岭南股份,2024-11-15 00:00:00,2.8500,3.1900,3.1900,2.8500,298544100
002717.SZ,岭南股份,2024-11-18 00:00:00,3.3200,3.5100,3.5100,3.2100,555889648
002717.SZ,岭南股份,2024-11-19 00:00:00,3.4500,3.7800,3.4100,3.1600,537348454
002717.SZ,岭南股份,2024-11-20 00:00:00,3.3900,3.6700,3.5500,3.3000,424387225
002717.SZ,岭南股份,2024-11-21 00:00:00,3.4400,3.5100,3.3300,3.2400,385937849
002717.SZ,岭南股份,2024-11-22 00:00:00,3.2300,3.4600,3.1300,3.1200,296829236
002717.SZ,岭南股份,2024-11-25 00:00:00,3.0500,3.2000,3.0300,2.9100,244172971
002717.SZ,岭南股份,2024-11-26 00:00:00,3.0300,3.1000,2.9600,2.9400,156771299
002717.SZ,岭南股份,2024-11-27 00:00:00,2.9600,3.2600,3.2600,2.8600,395455049
002717.SZ,岭南股份,2024-11-28 00:00:00,3.2700,3.4100,3.1700,3.1600,404584941
002717.SZ,岭南股份,2024-11-29 00:00:00,3.1000,3.4000,3.2400,3.0900,340616158
002717.SZ,岭南股份,2024-12-02 00:00:00,3.2000,3.5600,3.5600,3.2000,374182629
002717.SZ,岭南股份,2024-12-03 00:00:00,3.7000,3.9200,3.9200,3.5000,607115426
002717.SZ,岭南股份,2024-12-04 00:00:00,4.0000,4.3100,4.3100,3.9900,396146515
002717.SZ,岭南股份,2024-12-05 00:00:00,4.4200,4.7400,4.7400,4.0100,764258520
002717.SZ,岭南股份,2024-12-06 00:00:00,4.8600,5.2000,4.5400,4.4400,758423000
002717.SZ,岭南股份,2024-12-09 00:00:00,4.0900,4.2300,4.0900,4.0900,138549200
002717.SZ,岭南股份,2024-12-10 00:00:00,3.9000,4.3600,4.0700,3.9000,552871296
002717.SZ,岭南股份,2024-12-11 00:00:00,3.9800,4.4600,4.2900,3.8000,556417345
002717.SZ,岭南股份,2024-12-12 00:00:00,4.2000,4.2500,4.1200,4.0600,367252947
002717.SZ,岭南股份,2024-12-13 00:00:00,4.0800,4.5300,4.5300,4.0500,388848621
002717.SZ,岭南股份,2024-12-16 00:00:00,4.9500,4.9800,4.5200,4.5200,332496116
002717.SZ,岭南股份,2024-12-17 00:00:00,4.5100,4.9100,4.7500,4.1500,623804722
002717.SZ,岭南股份,2024-12-18 00:00:00,4.6000,5.2000,4.6800,4.4500,564730386
002717.SZ,岭南股份,2024-12-19 00:00:00,4.5100,5.1500,5.1500,4.4100,695272388
002717.SZ,岭南股份,2024-12-20 00:00:00,5.4300,5.6700,5.6700,5.3600,326902811
002717.SZ,岭南股份,2024-12-23 00:00:00,5.1000,5.4500,5.1000,5.1000,315256226
002717.SZ,岭南股份,2024-12-24 00:00:00,4.5900,4.7200,4.5900,4.5900,106260000
002717.SZ,岭南股份,2024-12-25 00:00:00,4.1300,4.4300,4.1300,4.1300,604491848
002717.SZ,岭南股份,2024-12-26 00:00:00,3.7400,4.0700,3.8100,3.7200,631595954
002717.SZ,岭南股份,2024-12-27 00:00:00,3.7300,4.0100,3.8800,3.6100,476883763
002717.SZ,岭南股份,2024-12-30 00:00:00,3.8200,3.8600,3.5200,3.5000,428631452
002717.SZ,岭南股份,2024-12-31 00:00:00,3.5000,3.6900,3.2300,3.2200,398900895
002717.SZ,岭南股份,2025-01-02 00:00:00,3.1700,3.5300,3.3700,3.1100,442100894
